key,code,brand,model,type,seats,doors,accelleration,image,tag
10614,10614,Renault,Sport Spider,Cabriolet,2,2,6.9 sec,https://www.auto-data.net//images/f109/Renault-Sport-Spider_1.jpg,116
9645,9645,BMW,5 Series,Station wagon,5,5,10.6 sec,https://www.auto-data.net//images/f123/BMW-5-Series-Touring-E39_1.jpg,117
6265,6265,Vauxhall,Nova,Hatchback,5,3-5,https://www.auto-data.net//images/f32/Vauxhall-Nova-CC_1.jpg,118
37778,37778,Kia,K3,Sedan,5,4,https://www.auto-data.net//images/f92/Kia-K3.jpg,121
11365,11365,Mazda,Familia,Sedan,5,4,https://www.auto-data.net//images/f1/big5201.jpg,123
39517,39517,Renault,Scenic,Minivan,5,5,https://www.auto-data.net//images/f111/Renault-Grand-Scenic-II_1.jpg,124
19124,19124,Audi,S6,Sedan,5,4,4.6 sec,https://www.auto-data.net//images/f104/Audi-S6-C7_1.jpg,126
37596,37596,Chevrolet,Bolt EV,Hatchback,5,5,https://www.auto-data.net//images/f23/chevrolet-bolt-ev.jpg,128
34319,34319,Peugeot,408,Sedan,5,4,https://www.auto-data.net//images/f4/Peugeot-408-II.jpg,129
781,781,Nissan,Frontier,Pick-up,5,4,https://www.auto-data.net//images/f98/Nissan-Frontier-II-Crew-Cab-D40.jpg,130
26945,26945,Audi,A3,Hatchback,5,3-5,8.2 sec,https://www.auto-data.net//images/f19/file3107293.jpg,131
29190,29190,Volkswagen,Passat,Sedan,5,4,9.6 sec,https://www.auto-data.net//images/f62/Volkswagen-Passat-B5.5_1.jpg,134
7157,7157,Fiat,Ulysse,Minivan,5,4,15.5 sec,https://www.auto-data.net//images/f1/big3251.jpg,135
31756,31756,GMC,Canyon,Pick-up,4-5,4,https://www.auto-data.net//images/f29/gmc-canyon-i-extended-cab.jpg,137
11274,11274,Mazda,626,Station wagon,5,5,10.6 sec,https://www.auto-data.net//images/f90/Mazda-626-V-Station-Wagon-GF-GW_1.jpg,138
52445,52445,Volkswagen,Polo,Hatchback,5,3,12.7 sec,https://www.auto-data.net//images/f38/Volkswagen-Polo-V-3-door_1.jpg,139
23476,23476,Mercedes-Benz,CLK,Cabriolet,4,2,9.3 sec,https://www.auto-data.net//images/f5/file9380302.jpg,140
27283,27283,Audi,TT,Coupe,4,3,5.4 sec,https://www.auto-data.net//images/f23/file6103189.jpg,142
21794,21794,Volvo,XC60,"SUV, Crossover",5,5,7.2 sec,https://www.auto-data.net//images/f129/Volvo-XC60-I-2013-facelift_1.jpg,143
5212,5212,Land Rover,Range Rover,SUV,https://www.auto-data.net//images/f119/Land-Rover-Range-Rover-I_1.jpg,145
3803,3803,Toyota,Mark II,Sedan,https://www.auto-data.net//images/f47/Toyota-Mark-II-G71.jpg,151
11605,11605,Rover,Montego,Sedan,https://www.auto-data.net//images/f120/Rover-Montego.jpg,152
28172,28172,Citroen,CX,Hatchback,5,5,12 sec,https://www.auto-data.net//images/f8/citroen-cx-i.jpg,153
